country,guid,guid:de,guid:es,guid:fr,guid:nb,guid:cs,guid:ru,guid:nl,guid:sv,guid:pt,guid:zh,guid:pl,guid:it
Galápagos Islands,"j=,1:f39$]",Fpw!^G_FDy,"rKe&a,vxE:",H@=}/tnJ+r,zi5;ldYAqH,czIuoMXe-@,"fQS_og=,cJ",n:Co:Y%G_J,CbH&P/]U[f,pCQ/diK:{C,Lk811V}xOV,A>=RSRGrI?,rtTV>aanq;
Saba,i;=jdbhl(w,Q.;-RG8ri4,"JqG7,i}^M#",La@o-<R>D7,jIz>`|hUIr,n*:!>x->:X,r.Mn(qt!rM,IkF^xi=uST,Pev=En2]U0,QC>%|#(ccw,lLgJB4-Rl&,KXHM$i}[9*,n~BnbS~^PC
Sint Eustatius,r3?J{NB0J3,prEIV(Y5@o,j2b>9VSV0},"ti,@|wZ>0w",dPRe6jU4Xj,FYT^H_/o64,E`v{[T9Y?z,J>|0p!->PF,gcTF@>W`j0,DuxVNczR:!,F?jWuTeoSg,BG[~rSz7_z,IoZYQ2p>B;
Easter Island,rNv|0qxR]K,j_W6YP&/cN,iVZ:94)BH<,B]FW$v]S+/,"yAT,9Ztyyn",bRZEGpT*)f,KIgBzg<+En,z}KbuME*39,vFxoO]fhlN,bs>nD:(T#C,QOi!w|i#;-,r<!ncRB{!{,E}j_D&Q7mL
Bonaire,~)7-62ytBX,L$iBOE&p}o,p{AX:uXi_<,Iv0W>oAB^c,B?Tc@+MK0s,O#]/)`FDUL,wWqQPq67nz,feqfPoNJ?3,f_}$_(^i4x,"fJKeT[,~9>",I3*#)vVIsH,tbbhGg|F*F,"x!LQD,?v=4"
British Indian Ocean Territory,ArmciP%a;a,MkUL%72%~W,k?SUMTaEzl,b{vct.#IZc,MbG/JnL:&+,Ju3]WYq65s,:0I7n0Gm6,L]iR;Bv*l;,f~*bFh&F#g,"C,il)N[s`?",MYBD5zZ93Q,vBRezzA0&:,"n3X9D,,qq&"
Mount Athos,qAsU}ONgC#,z1k!ACW8^y,PlxaMt8f{O,"i!`,>h~F3D",K`qJAIkCz8,"CZX9|$,/&x",Q3u1AokZL.,ANT]}cI<9C,Cm&*cX<Mf~,h+NhveXpv/,e<6OXd=nSG,"j,zD$EW1-z",zxQ4GfGdes
ABC islands,&/FuWzHWRQ,qeidSQ<b00,}B]x8w3y4.,jTTW-Fe!O:,"k,OQsXzBEg",J?x#-awu5j,vG0JG#t4rh,wS7)&JsaC6,S(3#rgeN=;,iU8>O_+/3^,"_,]E1EwdIW",PVh]|SV5r=,BdGgXwcc3|
Suez Canal,y|*xXbi7eF,pVdug.D%Pj,r=sk9Mon*],H4lUI8n@Zb,&0$=eJ/JQm,tH!E{k-=6?,5QEgw&22*D,"m6Nb6#Q5,B",)%pE/_6^89,#)@xIJX!di,"}fb,}5Y:-e","J<vl)^Kl,%",v693O~{nDJ
Panama Canal,V>FH$vw)~2,+j2<G.+d#(,Z)[Y0sar.O,C3Wu8lD6M_,N&wO2IGcY%,#aW3&v1H7h,"q#ppnJ,I^g",9EdYDOnh?$,%Y^Hf4r_&U,d2Z6K9#PT:,$B):?~AEh2,K3ejd*[B6R,e%J4fzEY+/
Kiel Canal,Fv7B[?d^;2,-?5iyV.4^X,XTuk_e)93M,Le}5)MoZnJ,@;P^PHFfj&,0Wa2&1$CsZ,B)mwnpIiDl,",VA<yg03hH",}=zR7XpxBE,ksAJ2A|ceo,"YV0@ars&,M",o1v*1}N|D$,~fEg?V|RD)
Saint Lawrence Seaway,y8W{fR;r-J,p@NFKuD}CU,[/qj+#vmbb,kH/T/.Mz-z,lkN>osbrMd,~hY1}s1O+J,u3bseV?NrF,*ds82qYOX7,Gn:_S4)@oc,IgujukrYjU,R]{[8H>iN9,S(0~VO&rP7,Pk^i~so/6k
Grand Canal,.#*40mcG+],evDmZ6F~Sv,v.yy~-kA.9,4g1T[/vtVt,m][J^JvQV%,NE|Ab$.T7o,:@*}UD$:R-,"(x4D].,pOE",Z(DE0Nz}y$,aMAFY&-hv],tPn*}fv*wx,R:srZkM~6P,9O^eLT8XVv
White Sea-Baltic Canal,4j8!<cDTu0,#d~lH/|C7;,"XD;+Ua:q,#",sy_*w;RGc~,3P68Lcq/77,xK3wHjz4]P,xnJ$Fu#])8,8ZqKLb8@56,!O:ZO$XPLd,!EXr]v=!S/,Vl^/QSf|#W,O7F$;0<j]Q,mgLM4(>Qae
Rhine-Main-Danube Canal,T.r5?)z&J=,hTh*n!Amwr,&V_eT*[1_$,",KmxP}CdJ2",iunU9;=I.h,/Ay|=1e@1b,"1BZ,fr6G(#",L<]Pj4f!YI,syx#u|E#/;,|xI-R:deLW,F<:lLLJF^&,Wp#i46YI($,Fw=}KfNpw2
Volga-Don Canal,T7UoU#W]v5,(j;JP?8.aY,%Pn@<=vE$Z,+!PDwolA](,JHGFO221kU,jzvprd3uVk,|&Wd9}]Y7I,7SUb}Z9Nb@,2VSXj93pM+,>sw/?@dj(L,ng@x6[BBx%,f.Vfl^|/9!,8]j.s%ticY
Houston Ship Channel,pTkMY~Pv7A,G>+{k~>[]-,h_(HBA#jwJ,5e4]Uk8.5K,ZgSgcQ+2GB,P|b*.@){41,-N87TclhW+,Ap?Oy%T2R{,5|UIr:^n91,2$e5-z)Fms,;A@t~S:mU=,.{r|}W)Vwb,"05o_Z,iK%C"
Danube-Black Sea Canal,i_3J*I8Mee,%(B9CgMDKm,oXil)8SBRt,U%KeQhBRFj,{}M^j4;+4i,P^UmL9!38X,N@=_w+LVlk,V$j/qRh!+<,/IbB#i6X!+,q&:U+IhaB.,"A%)XJ,HP!&",DEd6|5+Jfn,H*!L1YtnM:
Manchester Ship Canal,"4,1n:cjFCB",?PT5lZYB2O,MRdM_1C//),Aoi*ogoo7@,-P^K-X~.5o,95vDw^k#cZ,3o+EA*PyE^,)8k:oYu1aF,VMR1ZQ9Ii],1d)&)$q2IV,T5RE_@<=37,K^2#!t({(c,m0C<zvxy$;
Welland Canal,jVK3N?Dqc0,|b5h6<hM_M,xipmv<ZG4_,HWh<Ig;08},"e*jbuUst,{",(EE_^RVN@U,)_o[tibVGI,KSd+oe]v%G,pYIBRThOqg,wk{k49nq#0,pz[UU/Qy-c,Z4as4>PWd2,qx|LYuzxnr
Mount Everest,oMB(s8w6:d,Pa:0>aX)Lx,]t/}p_?Nxy,)cqU28.%6W,qIhpn;AKOr,4k{s{;i}~>,pcPP9?T$6},gG3D7Fol:2,F)Ju/y0=.@,k9k@04mAqT,Dh_h2{<p9I,%1RK7FHQ/8,BuXwAK2P}0
K2,<F(sje&nr*,"<b4|O:yTJ,",#8U~=L5<i7,w8;=|&(qW6,3]%L*#/C8^,vU{(9eMj4h,4V-5}~whx/,"=j),]0i;Jl",%XH7vwFb1K,EigLs>IxIh,Y5cr6{r&tn,vsT<E.Uv;Q,"AN{h9N,8Z9"
Aconcagua,RWm]C&Lf>9,",]6GkVM|t_",a$c:qs)@%@,)>+!!#0{>W,cH=I2{Xc+s,9rRYHaHhm<,IvY8zw{=^),?-0&nwkxXP,%VS)Tb;WSx,",(qeLJRR~)",CHol@E/;C^,{3At5OGiu&,<!Ja(kkp85
Ojos del Salado,lmq1>kK1P_,ab36/CN>.E,s}R4GLLK#t,"IAb&,dPhmM",Z!MQ#N[2+3,"+V@sR]T^,g",=~imy/r(~m,--4$Pr(p!g,AhwrC~o8Hr,"1ns4^K,ci?",88%;|UG2Ti,#po5pJ|j]P,-t@=z(WeMa
Denali,spG(UD^;p<,5o|J-}H4^V,#-Q1Zaq*W?,sR+LmqfYfJ,-xA#/9310b,&T(FDGdimx,(h:Y%s[uy&,gkZ8EmyG@),@Dw%MI)FXv,6jxHXI3!$E,)-#ls)$GOM,_*;i5SB#Rp,hon7G5xLtz
Mount Logan,@w/dov2u#C,m.^Wc(<G%y,RH-[6WhS/C,>z&^fJ+F:o,ety{Ssgr[%,WT34OFrJ%x,j>Mzt?geTO,<;&}/@#o(n,zi8yOZ]ZoK,WQ*a^=B>&d,"q>#,F9_CUX",UuQQ4LDx>W,t}NxKcqbb!
Kilimanjaro,"~N,S6,|[DE",R(aR%y[oju,L:j?1m}Zo%,M>gX4CsEiy,Bwh^O^HWz@,8%6j>Ka*#M,u2DKN/(UA8,1gwHB7Vh:E,8?/u|D1:~),#A0;B?|~_*,3SBMR)u[v7,YV*tcX):*b,-Dd/#PoJDR
Mount Kenya,Kle*2Z$-b%,.4C{~#%h6|,6@M/-FVSB=,[xE7zYG9?V,kje/j=0p~Q,E{+1?UKZYx,S#Aw3T@{Lv,:i3[F4ys(a,%!7z7#17|L,274h~ewB}q,cVN1O2O%bz,ASJ%VgW<$W,G$!YC1m3%y
Mount Elbrus,GHPZ95@Qhh,"Uk?2,u9Fgn",OKxU6ky)<X,"HRg=2hT,|+",q~esNW_G0p,cz6{S(6m&1,Kjz).u$*~6,eh>[SoQ>WX,V1Af>:7ZD5,#zoNz.LL[P,(}K5M82NpU,cwyOl!~a=>,H>w-~Qzf8F
Dykh-Tau,X<w*:|X#yH,qh8)5VJSiU,x/OlD5gV}7,",D*~0]Wp4U",M$.V82B;}0,eB6FX#Uw[N,>E%Yiqr(V:,AX[E2V|a2),krzW@z=kx*,DW*Q~L;>Qh,ok.1#yB1kH,Jkwds|$sa/,8(Ke]KXPXM
Puncak Jaya,+0Un%|ySj9,z}&|O}<FE4,oK^au&J>/z,EPT;PkJ?~n,bU5TkEyJ@0,)|?kJgA4~l,|*M;3X_aDx,U]Qv1}Nx&),)*Mvz/n#ll,U}XL:PL8GP,AVb1RvJhnn,"YkJ,r(m.%4",EW*)w&GJ4A
Puncak Mandala,$xpkGF[(I<,IG^BGKVomK,Yjgn@-FvD$,Jp*;mpuV0t,.=-7t4ZDoO,V=$m_I[H/o,9W$$/>>[+@,"Ely~b:3,}:",N^9vHK$Ghq,"M$Cp>B6,4F",=ButoGAL{@,R#u:BYjHms,)u+ko(1h=<
,IS&&N{37<f,AHMrBBF^A),P<L@xwbB}D,fq%oYRzB}3,fGUe%8::&|,pgP1G`S#ld,ukj3k%vft~,q-}nB%ck]`,wtOuMD2/K^,l.k3PBt-t0,F:-nC&1L:;,L#U7NsPeD2,t64mg3~2;E
Anguilla,cy]sz097{A,f@yhyIZs1M,ry@=xf+2q*,bL:V3Mk#/G,tV!EfvE}o3,AEYmaw]30%,j3YEh:%xvU,FfUL%mQ&PE,"ob,XyH/48V",tM!LJ;x!dw,yUpfA5iG|D,vJs_%9x9D+,CroKtJz=Q*
Gibraltar,mHDrx]xo!x,"K&V,@=Tb2U",lKMDex5!Hv,H-|fKHW;I8,efzTUThyDA,CHbrWI*3+3,"I,E]2]aZey",F&hQ$.~}z>,roM<Wc%XhN,IArOq#SjBC,gww^l3-M^n,e-z-ah<%y.,"DTB,~t?[dA"
Saint Martin,rbjYQCA<Z.,mG1]/2&F.;,s::bmje48/,LGlrG;kW2{,bx?lcGtaqk,E77R;RSQ^=,fW1MNen3)o,K6#9w!d11#,GZ<W3w#1;-,gkw+*sjFCu,jlot$/%DhO,u*ixcu^>_A,n4{!O.4T$z
British Virgin Islands,oDGbPPlkzc,Ec^(S4-x}n,qeit)-OqP_,zoAz-:m$~u,zVJo7y.|Nk,A|.^9]6?*m,Oi#MpjM#6K,c--1f9~[#l,s!_&e@~9?/,D3(_%8<`)i,"b8H,/:e[J",zFcr-5/v~),Db}Awnj.&o
Sint Maarten,~Z$*giAq2R,iW_#selc^M,O>R!!6no3#,C&/=gH.D`@,ja]8+Vk7n~,"AD,M;9)F0t",uCJ#$UE%6$,lDaa;59~qm,xMqO>fl:`-,BL6:9|J!cJ,L2<Nw(9@3},uqO&(rTGuw,"L2{i,+695B"
Turks and Caicos Islands,ogLVp1-2mC,Da1;(qCjqg,nn019~<L0F,P1N8C]-igP,x{N/d8-K_s,"o,8Yx@1@dy",xD7:!^{{9?,p9C`8h!wbe,i0A6*Y}pLA,wq6Xk(J6!N,y0<pI9_;xF,#6cwN[[VU,yoI13~mU:%
Northern Mariana Islands,nK;HFcd-1P,iNs`R8A/)Q,x:uRprbD;n,"d;k6{g#b,#",K#P3RtqiT<,n@2$2ZF`$g,ygyK.f{0mB,ry3&6CN_Iy,k&.hAo`R#f,NXD!i[bpvN,ma&g(`<QSW,O<&wD7^9lJ,cnhKTO=K(#
American Samoa,lU*>%[&e|.,zd2^/{X5lc,MM]1pextqw,FPFONJ):Dy,m@pf)8KPHZ,"q$.,8[%5@T",bH@6G0IRCV,uJv-#1vanK,gsn@$l78P~,HwimN?=^B-,M0u;9=~K}H,njOure8oqu,wWtIuNvY:^
Cayman Islands,t8K|Gnw[k$,B3<jn]}sDM,pt:av}*ik*,RhdJQ}!+_*,D]D8_4ZHSz,c^EE{xL7)V,Kz@YY:sbyn,JZ4r6A]@s*,qmc2/j;~vK,"uB(_~8q,pp",C[7NKk$6r(,hFK:vGyS5X,lVl}D$!uT5
Guernsey,n#k%mr&bc-,IG*QZdv0-=,h-XX-/GLO0,JJbQ3Yb#K^,Gmpd3wdFV+,N]1liFFMqx,y#?*1I1V:H,M=bcZTF2q3,vx1!O+3B|U,L^.[yYbK:3,O#EI]TG/Wr,wY061{bE.t,p%bwR8q{RY
Bermuda,e%!;xc:jxC,qwG[a#}J&|,Rd!Q6LD~PS,M|}oP%7k6P,Kf-|=_()R#,xF})(W+)}J,sharv:i>;k,byGlH}!tSd,BkcUmFiuFa,BBN%FzcQ9],J@1C8:$ZT1,dw5AN&m9uv,jy-&3Jw9r2
Isle of Man,"a_~PL,CWhU",nYQ<nbhm!F,Oy!tHN-*^%,vQIllWa:XP,zLdpn-ke^j,Ars!a0y)cM,jHb%);0?RL,ueWNl6[xKz,gcf0l#BB2Q,bVi*ZU4c.G,niF[b!b}yL,IKG`--$y3-,v4C}eB13H8
Jersey,kq:]$sh13[,x0K*a{i@fP,Cs.wvS5L&7,D~@6uO&G_A,vmO9MS>)do,}vcYb:{*^,QB2f+V.iMD,j)jP=C-2p4,Dgr1v0d^JY,vuWET>:+/p,x-h|j<[t)_,rSjRG%J$aV,w[5s*D0@Q
Falkland Islands,UkP!tU%r),FOX&W9.M1T,A.8f@WP*[2,ye)3;Bn^^I,pDHtACkMZ5,"wTnS,[BDNw",j~~q6wDht&,dQSD(/Fw>v,Mt9?+0EUC0,r)[_QGN1;K,q?yu3?80B2,"QF(nIg,z#Y",LmQBE?Dd2=
Azores,"hz,n^64X%i",p/4yo-ZA_H,sitVds0NRh,i&J4[Szx-$,m]OtOn2N[9,BUb/U.?27[,OOb&jvl~9/,G/1{s%7)+m,KJJ8W^k(S%,o9WYDCxrIm,M;SX[!0}Ug,tslx1:@0uV,o+j|Cl6tXk
Mayotte,v2Z)BIAnoM,II#[}svh7Y,f$QHJ~v)1|,bfl[RFo_kj,"JI+%@7,$EI","Nfv_,w_*^e",j{g^41j/Bc,muf*pa/K*4,wwvu0>wN-N,e8^_O:rmx#,"u9,Z4FW1(=",K8L_O.`l*(,rs=vt?OaAV
Madeira,fKTU=+DKl],mA.03]{R}v,M$kA1kOT{7,F`f?DC4gw(,QVv{iR4%XD,g.j.K&SZ&D,"BfykE,0nE$",APx`rK90%o,l%RoRvxm=H,z`wQyy/A--,"t:)g,)Oa-n",bG?{@g1DI9,A]bqI_d-gO
Corsica,2N$NqX&k.,tG:}u{wS}7,unTamz5#3m,NHK~0=sW1P,Etu0#<y|;N,cqiJZa*^:*,h@y+|*Wlpx,t^kvEZGas^,cs++G}uN.:,y$3+|r;Yx>,u&|tX&?`1C,A(]hx=IxB>,CR?k0GWmIv
Martinique,sxF2<dV=;U,y2A)jBTc:U,bn2d8iD5=9,K<#E5NGXcJ,vzY{_hk6MW,Dhj>M-}6Oi,I@}TjfjOh!,c#H<FG=%o],"u,`D@u]in~",rNVL9iZq~y,"J./,.HC%f",Qg}FzXt#$>,mKh:)S?vG9
Sardinia,h/)!YCH&na,Ql!.Ksn2#n,jOtLt$@w-_,w?4Amjn6?Z,H+WG46k$u-,puP|^EkY^(,h$GX~98J;},c|K^(bo;zT,vs|go.|ucq,Dp[oLu5XL@,G;.Q@u[8cF,IWHULN`t(I,L(PWV_s4mv
Sicily,lIEV|(|pPu,G)-FfBY[4U,o~:L}ts0Ts,ra8BF$L>Po,Oc_vgDnvsH,"Cp3(,gI!?l",A)_y}EqO1=,bXvXO2WDTI,jPlah8ETq`,meKxNdJ2|J,CQxS$c`]//,y`Pub.z]J+,Gy3S(vIvnv
Zanzibar,e1zOyx7^cj,zmZKA0W&Y`,KwFH@{tDiK,BBBp5+S)1=,ds`^=Q4VN/,G-+21kK7yC,g^5w8Sb/|j,lJ+1>EoV#a,vL&~l^Hf}1,Bn(osoe#+B,CUh|my:{hj,vGDG]Q6c-x,j357(%|.I#
Canary Islands,cB]XeL7sC?,v(aCZjiB`E,Bq#v-_Aem5,yy`r|xqpM(,ph}*g=AiTQ,gFN4MO1o^{,b2Q[Mm5@eJ,G`%s2E95l`,u^@7t>`wk(,"dxU>,GUYs%",KP1zhvxl`m,i!]~j^48@!,N~6!!otGxq
Guadeloupe,"r]V9W,sj5i",n/S)_Np9Y9,AT3PQu?%BM,"m_a!IK=G9,",p*Uv+0}n@J,Iet+ebiuDU,Fb_Nk^WooF,s>I[{idR/X,nI=?)]P`7N,"M.{,FKLSZ4","bk,m3*Yx.#",rIztt_oraH,eEYQ6Ecu(e
Réunion,t3VhRfcBZs,p_|}0P5qv.,P][52)1oU*,k1>2(^fW}0,G~TC}&8oYq,"jNN.z5#,l}",Kt=3(Hr~z[,Al?OjIz6#X,"mq,B=0w:1#",n<bSH7hV]g,zEfp3EpL=A,I*ka`>=NCU,k_M300{A~Z
Kaliningrad Oblast,b&sLa#a&vn,Me>%OjfcBt,d{8Qf~hWof,RcgTtiG}nb,w$T-HDx>_B,t%UD(?)02;,F*Nv_8?dlu,"gcil[,x%Ul",pG6!Hl95fz,yPCR^~#K`7,D>a=i:)D4?,"KA,BeY8k(O",qif}OW3&o>
French Guiana,~F>Y6gVJay,Br5zA8p_}G,FDbZ^adS`m,skV=e<)j!c,JZ-nO89mzW,"w1fH%^^,nD",lNur+=gm5g,un7Q+xYyzJ,"uQ+,Gs;#O|",hxcyKGYrmn,yi~BsG;1i~,NeF-Iq[lvJ,wK;0}IMi0v
Bali,",LnVW8IL`",w4Uw*3mvbq,g-;Trk(qZ~,tOgiV:hG*a,d;]TF&Of]P,Pc$>Tz2c*e,MhH`NP$n}Y,NLQFH)R7My,AT8Q{QV/FZ,BZM8)1z>J2,J}Ic}WR-Ys,cCkC>rG8Z4,i*{a%dbZbS
