country,country info,country info:de,country info:es,country info:fr,country info:nb,country info:cs,country info:ru,country info:nl,country info:sv,country info:pt,country info:zh,country info:pl,country info:it
Grand Canal,"Oldest and longest artificial canal in the world (1,776 km). UNESCO World Heritage Site.",Ältester und längster künstlicher Kanal der Welt (1.776 km). UNESCO-Welterbe.,Canal artificial más antiguo y largo del mundo (1.776 km). Patrimonio de la Humanidad.,Plus ancien et plus long canal artificiel du monde (1 776 km). Patrimoine mondial de l'UNESCO.,Verdens eldste og lengste kunstige kanal (1 776 km). UNESCO verdensarvsted.,,,,,,,,
White Sea-Baltic Canal,Ship canal in Russia connecting the White Sea to the Baltic Sea. Opened in 1933.,Schifffahrtskanal in Russland zwischen Weißem Meer und Ostsee. Eröffnet 1933.,Canal marítimo en Rusia que conecta el mar Blanco con el mar Báltico. Inaugurado en 1933.,Canal maritime en Russie reliant la mer Blanche à la mer Baltique. Ouvert en 1933.,Skipskanal i Russland mellom Kvitsjøen og Østersjøen. Åpnet i 1933.,,,,,,,,
Rhine-Main-Danube Canal,Ship canal in Germany connecting the North Sea to the Black Sea via the Rhine and Danube rivers. Opened in 1992.,Schifffahrtskanal in Deutschland zwischen Nordsee und Schwarzem Meer über Rhein und Donau. Eröffnet 1992.,Canal en Alemania que conecta el mar del Norte con el mar Negro a través del Rin y el Danubio. Inaugurado en 1992.,Canal en Allemagne reliant la mer du Nord à la mer Noire via le Rhin et le Danube. Ouvert en 1992.,Skipskanal i Tyskland mellom Nordsjøen og Svartehavet via Rhinen og Donau. Åpnet i 1992.,,,,,,,,
Volga-Don Canal,Ship canal in Russia connecting the Volga and Don rivers. Opened in 1952.,Schifffahrtskanal in Russland zwischen Wolga und Don. Eröffnet 1952.,Canal en Rusia que conecta los ríos Volga y Don. Inaugurado en 1952.,Canal en Russie reliant la Volga au Don. Ouvert en 1952.,Skipskanal i Russland mellom Volga og Don. Åpnet i 1952.,,,,,,,,
Houston Ship Channel,Navigable waterway in Texas connecting the city of Houston to the Gulf of Mexico. Opened in 1914.,Schifffahrtskanal in Texas zwischen der Stadt Houston und dem Golf von Mexiko. Eröffnet 1914.,Canal de navegación en Texas que conecta la ciudad de Houston con el golfo de México. Inaugurado en 1914.,Voie navigable au Texas reliant la ville de Houston au golfe du Mexique. Ouvert en 1914.,Skipskanal i Texas mellom byen Houston og Mexicogolfen. Åpnet i 1914.,,,,,,,,
Danube-Black Sea Canal,Ship canal in Romania connecting the Danube River to the Black Sea. Opened in 1984.,Schifffahrtskanal in Rumänien zwischen Donau und Schwarzem Meer. Eröffnet 1984.,Canal en Rumania que conecta el río Danubio con el mar Negro. Inaugurado en 1984.,Canal en Roumanie reliant le Danube à la mer Noire. Ouvert en 1984.,Skipskanal i Romania mellom Donau og Svartehavet. Åpnet i 1984.,,,,,,,,
Manchester Ship Canal,Ship canal in England connecting the city of Manchester to the Irish Sea. Opened in 1894.,Schifffahrtskanal in England zwischen Manchester und der Irischen See. Eröffnet 1894.,Canal marítimo en Inglaterra que conecta Mánchester con el mar de Irlanda. Inaugurado en 1894.,Canal maritime en Angleterre reliant Manchester à la mer d'Irlande. Ouvert en 1894.,Skipskanal i England mellom Manchester og Irskesjøen. Åpnet i 1894.,,,,,,,,
Welland Canal,Ship canal in Ontario connecting Lake Ontario to Lake Erie. Bypasses Niagara Falls. Opened in 1932.,Schifffahrtskanal in Ontario zwischen Ontario- und Eriesee. Umgeht die Niagarafälle. Eröffnet 1932.,Canal en Ontario que conecta el lago Ontario con el lago Erie. Evita las cataratas del Niágara. Inaugurado en 1932.,Canal en Ontario reliant le lac Ontario au lac Érié en contournant les chutes du Niagara. Ouvert en 1932.,Skipskanal i Ontario mellom Ontariosjøen og Eriesjøen. Omgår Niagarafallene. Åpnet i 1932.,,,,,,,,
,,,,,,,,,,,,,
Anguilla,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Gibraltar,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk kronkoloni.,,,,,,,,
Saint Martin,Overseas territory of France.,Französisches Überseegebiet.,Territorio de ultramar de Francia.,Collectivité française d'outre-mer.,Fransk oversjøisk land.,,,,,,,,
British Virgin Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Sint Maarten,Constituent country of the Kingdom of the Netherlands.,Autonomes Land innerhalb des Königreichs der Niederlande.,Nación constitutiva del Reino de los Países Bajos.,État autonome du royaume des Pays-Bas.,"«Land» som sammen med Nederland, Curaçao og Aruba utgjør føderasjonen Kongeriket Nederlandene.",,,,,,,,
Turks and Caicos Islands,Overseas territory of the United Kingdom.,Auch Turks &amp; Caicos. Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Northern Mariana Islands,Unincorporated territory of the United States.,Nichtinkorporiertes US-amerikanisches Außengebiet.,Territorio no incorporado de los Estados Unidos.,Territoire non incorporé des États-Unis.,Uinnlemmet territorium i USA.,,,,,,,,
American Samoa,Unincorporated territory of the United States.,Nichtinkorporiertes US-amerikanisches Außengebiet.,Territorio no incorporado de los Estados Unidos.,Territoire non incorporé des États-Unis.,Uinnlemmet territorium i USA.,,,,,,,,
Cayman Islands,Overseas territory of the United Kingdom.,Überseegebiet des Vereinigten Königreichs.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium i Karibia.,,,,,,,,
Guernsey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,,,,,,,,
Bermuda,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Selvstyrt britisk oversjøisk territorium.,,,,,,,,
Isle of Man,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Også kalt Isle of Man. Kanaløy underlagt britisk kronbesittelse. Hverken del av Storbritannia eller EU.,,,,,,,,
Jersey,Crown dependency of the United Kingdom.,Kronbesitz der britischen Krone.,Dependencia de la Corona británica.,Dépendance de la Couronne britannique.,Kanaløy underlagt britisk kronbesittelse.,,,,,,,,
Falkland Islands,Overseas territory of the United Kingdom.,Britisches Überseegebiet.,Territorio de ultramar del Reino Unido.,Territoire britannique d'outre-mer.,Britisk øygruppe.,,,,,,,,
Azores,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,,,,,,,,
Mayotte,Overseas department of France.,Übersee-Département Frankreichs.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk territorium.,,,,,,,,
Madeira,Autonomous region of Portugal.,Autonome Region von Portugal.,Región autónoma de Portugal.,Région autonome du Portugal.,Selvstyrt region i Portugal.,,,,,,,,
Corsica,Region of France.,Gebietskörperschaft Frankreichs.,Región de Francia.,Région française.,Fransk region.,,,,,,,,
Martinique,Overseas department of France.,Übersee-Département Frankreichs.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Sardinia,Autonomous region of Italy.,Autonome Region Italiens.,Región autónoma de Italia.,Région d'Italie à statut spécial.,Delvis selvstyrt region i Italia.,,,,,,,,
Sicily,Autonomous region of Italy.,Autonome Region Italiens.,Región autónoma de Italia.,Région d'Italie à statut spécial.,Delvis selvstyrt region i Italia.,,,,,,,,
Zanzibar,Semi-autonomous region of Tanzania.,Halbautonomer Teilstaat von Tansania.,Región semiautónoma de Tanzania.,Région autonome de Tanzanie.,Delvis selvstendig stat i Tanzania.,,,,,,,,
Canary Islands,Autonomous community of Spain.,Autonome Gemeinschaft von Spanien.,Comunidad autónoma de España.,Communauté autonome d’Espagne.,Selvstyrt område i Spania.,,,,,,,,
Guadeloupe,Overseas department of France.,Übersee-Département von Frankreich.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Réunion,Overseas department of France.,Übersee-Département Frankreichs,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement.,,,,,,,,
Kaliningrad Oblast,Oblast (administrative region) of the Russian Federation.,Oblast (administratives Gebiet) der Russischen Föderation.,Óblast (región administrativa) de la Federación de Rusia.,Oblast (région administrative) de la fédération de Russie.,Oblast (administrativt distrikt) i Russland.,,,,,,,,
French Guiana,Overseas department of France.,Französisches Überseegebiet.,Departamento de ultramar de Francia.,Département français d'outre-mer.,Fransk oversjøisk departement og del av EU.,,,,,,,,
Bali,Province of Indonesia.,Indonesische Provinz.,Provincia de Indonesia.,Province d'Indonésie.,Øy og provins i Indonesia.,,,,,,,,
